Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,
288.0585814,507.77435828,0.25749581621,Liquid-Gas,Experimental,NIST,Authors: Kratzke, H.;Muller, S. Title: Thermodynamic quantities for propane. 3. The thermodynamic behavior of saturated and compressed liquid propane Citation: J. Chem. Thermodyn.,1984,16, 1157-74 (Derived),,,,,,,,,,
288.150994,507.8,0.28,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
288.69626664,507.3,0,Liquid-Gas,Experimental,NIST,Authors: Carney, B. R. Title: Density of Liquified Petroleum Gas Hydrocarbons, Their Mixtures and Three Natural Gasolines Citation: Hydrocarbon Process.,1942,21,84,,,,,,,,,,
288.700664,507.3,0.5,Liquid-Gas,Experimental,NIST,Authors: van der Vet, A. P. Title: Density, Compressibility, Expansion of Light Hydrocarbons and of Light Hydrocarbon Blends Citation: Congr. Mondial Pet., Paris,1937,2, 515-21,,,,,,,,
288.701773334,507.3,0.3,Liquid-Gas,Experimental,NIST,Authors: Carney, B. R. Title: Density of Liquified Petroleum Gas Hydrocarbons Citation: Hydrocarbon Process.,1942,21,274,,,,,,,,,,,
288.706387,506.9,4.4,Liquid-Gas,Experimental,NIST,Authors: Tomlinson, J. R. Title: Liquid Densities of Ethane, Propane, and Ethane-Propane Mixtures Citation: Nat. Gas Processors Assoc. Tech. Publ.,1971, TP-1,,,,,,,,,,
292.1386,501.7,0.288,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
293.14537,500.1,0,Liquid-Gas,Experimental,NIST,Authors: Kaminishi, G.-I.;Yokoyama, C.;Takahashi, S. Title: Saturated liquid densities of n-butane-isobutane, n-butane-propane, isobutane-propane and n-butane-isobutane-propane mixtures Citation: Sekiyu Gakkaishi,1988,31, 433-8,,,,,,,
293.6094,498.715033116,0.379230201093,Liquid-Gas,Experimental,NIST,Authors: Defibaugh, D. R.;Moldover, M. R. Title: Compressed and saturated liquid densities for 18 halogenated organic compounds Citation: J. Chem. Eng. Data,1997,42, 160-168 (Derived),,,,,,,,,,
296.1368,495.5,0.296,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
298.14437,492.377035234,0.0625179752183,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27, 1-11 (Derived),,,,,,,,,,
299.165588,490.6,0.302,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
299.80203332,490.3,0,Liquid-Gas,Experimental,NIST,Authors: Legatski, T.W.;Nelson, W.R.;Dean, M.R.;Fruit, L.R. Title: Densities of Liquefied Petroleum Gases, Citation: Ind. Eng. Chem.,1942,34, 1240-1243,,,,,,,
299.81073666,489.8,1,Liquid-Gas,Experimental,NIST,Authors: Kahre, L. C. Title: Liquid Density of Light Hydrocarbon Mixtures Citation: J. Chem. Eng. Data,1973,18, 267-270,,,,,,,,,,,
