T,eta,phase,,,,,,,,,,,,,,,,,
303.143055,0.003735,liquid,Authors: Moore, J. W.;Wellek, R. M. Title: Diffusion Coefficients of n-Heptane and n-Decane in n-Alkanes and n-Alcohols at Several Temperatures Citation: J. Chem. Eng. Data,1974,19,136,,,,,,,,,,,
303.143055,0.003765,liquid,Authors: Singh, R. P.;Sinha, C. P.;Das, J. C.;Ghosh, P. Title: Viscosity and Density of Ternary Mixtures for Toluene, Ethylbenzene, Bromobenzene, and 1-Hexanol Citation: J. Chem. Eng. Data,1989,34,335,,,,,,
303.143055,0.003769,liquid,Authors: Singh, R. P.;Sinha, C. P. Title: Viscosities and Activation Energies of Viscous Flow of the Binary Mixtures of n-Hexane with Toluene, Chlorobenzene, and 1-Hexanol Citation: J. Chem. Eng. Data,1984,29,132,,,,,,,,,
303.143055,0.0037562786341,liquid,Authors: Singh, R. P.;Sinha, C. P. Title: Viscosities and Activation Energies of Viscous Flow of the Binary Mixtures of n-Hexane with Toluene, Chlorobenzene, and 1-Hexanol Citation: J. Chem. Eng. Data,1984,29,132,,,,,,,,,
303.143055,0.003765,liquid,Authors: Singh, R. P.;Sinha, C. P. Title: Viscosities and acyivation energies of viscous flow of ternary mixtures of toluene, chlorobenzene, 1-hexanol and benzyl alcohol. Citation: J. Chem. Eng. Data,1985,30,470,,,,,,,,,
303.15,0.003744,liquid,Authors: Al-Hayan, M. N. M.;Abdul-Latif, A.-H. M. Title: Excess molar volumes and viscosities of (1,1,2,2-tetrabromoethane + 1-alkanols) at T = (293.15 and 303.15) K Citation: J. Chem. Thermodyn.,2006,38, 68-74,,,,,,,,
303.15,0.003887,liquid,Authors: Al-Jimaz, A. S.;Al-Kandary, J. A.;Abdul-Latif, A.-H. M. Title: Acoustical and Excess Properties of {Chlorobenzene + 1-Hexanol, or 1-Heptanol, or 1-Octanol, or 1-Nonanol, or 1-Decanol} at (298.15,303.15,308.15, and 313.15) K Citation: J. Chem. Eng. Data,2007,52, 206-214,,,
303.15,0.0038951,liquid,Authors: Ali, A.;Hyder, S.;Nain, A. K. Title: STUDIES ON MOLECULAR INTERACTIONS IN BINARY LIQUID MIXTURES BY VISCOSITY AND ULTRASONIC VELOCITY MEASUREMENTS AT 303.15 K Citation: J. Mol. Liq.,1999,79, 89-99,,,,,,,,,,
303.15,0.0038068,liquid,Authors: Ali, A.;TEWARI, K.;Nain, A. K.;Chakravortty, V. Title: STUDY OF INTERMOLECULAR INTERACTION IN DIMETHYLSULPHOXIDE + I-ALKANOLS (I-BUTANOL, I-HEXANOL, l-OCTANOL) AT 303.15K Citation: Phys. Chem. Liq.,2000,38, 459-473,,,,,,,
303.15,0.00367,liquid,Authors: Aminabhavi, T. M.;Aralaguppi, M. I.;Harogoppad, S. B.;Balundgi, R. H. Title: Densities, viscosities, refractive indices, and speeds of sound for methyl acetoacetate + aliphatic alcohols (C1-C8) Citation: J. Chem. Eng. Data,1993,38, 31-39,,,,,,
303.15,0.00369,liquid,Authors: Aminabhavi, T. M.;Raikar, S. K. Title: A study on mixing properties of binary mixtures of bromoform with aliphatic alcohols Citation: J. Chem. Eng. Data,1993,38, 310-319,,,,,,,,,,,
303.15,0.003733,liquid,Authors: Aralaguppi, M. I.;Jadar, C. V.;Aminabhavi, T. M. Title: Density, Viscosity, Refractive Index, and Speed of Sound in Binary Mixtures of Acrylonitrile with Methanol, Ethanol, Propan-1-ol, Butan-1-ol, Pentan-1-ol, Hexan-1-ol, Heptan-1-ol, and Butan-2-ol Citation: J. Chem. Eng. Data,1999,44, 216-221
303.15,0.003896,liquid,Authors: Bajic, D.;Zivkovic, E.;Serbanovic, S.;Kijevcanin, M. Title: Volumetric and Viscometric Study of Binary Systems of Ethyl Butyrate with Alcohols Citation: J. Chem. Eng. Data,2014,59, 3677-3690,,,,,,,,,
303.15,0.0039,liquid,Authors: Cano-Gomez, J. J.;Iglesias-Silva, G. A.;Castrejon-Gonzalez, E. O.;Ramos-Estrada, M.;Hall, K. R. Title: Density and Viscosity of Binary Liquid Mixtures of Ethanol + 1-Hexanol and Ethanol + 1-Heptanol from (293.15 to 328.15) K at 0.1 MPa Citation: J. Chem. Eng. Data,2015,60, 1945-1955,,,,,,,,
303.15,0.003829,liquid,Authors: Das, K. N.;Habibullah, M.;Uddin, K. S.;Barua, P. Title: The Thermodynamic Excess Properties of Binary Mixtures: I. Hexanol-1 + o-Xylene Citation: J. Solution Chem.,2006,35, 1017-1028,,,,,,,,,
303.15,0.003829,liquid,Authors: Das, K.;Habibullah, M.;Rahman, I. M. M.;Hasegawa, H.;Uddin, K. S.;Saifuddin, K. Title: Thermodynamic Properties of the Binary Mixture of Hexan-1-ol with m-Xylene at T = (303.15,313.15, and 323.15) K Citation: J. Chem. Eng. Data,2009,54, 3300-3302,,,,,
