Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,
293.138,23.9447,0.2666,Liquid-Gas,Experimental - Rejected,NIST,Authors: Weissenberger, G.;Henke, R.;Katschinka, H. Title: Binary liquid mixtures: xxi systems containing butyric acid Citation: Z. Anorg. Allg. Chem.,1926,153,41,,,,
293.14537,24.478,0.03114,Liquid-Gas,Experimental,NIST,Authors: Hoepfner, A.;Hostermann, I. Title: Vapor pressure isotopy effect of D(6)-acetone Citation: Z. Phys. Chem. (Munich),1976,99,157,,,,,
293.14537,24.721,0.215,Liquid-Gas,Experimental,NIST,Authors: Qing, Z.;Xu, Y.;Hu, Y. Title: Molecular Thermodynamics of Gas Solubility V. Henry's Constants of Gases in the Mixed Solvents Citation: Huadong Huagong Xueyuan Xuebao,1989,15, 586-596,,,,
293.15,23.37,0.37,Liquid-Gas,Experimental - Rejected,NIST,Authors: Giles, N. F.;Wilson, L. C.;Wilson, G. M.;Wilding, W. V. Citation: J. Chem. Eng. Data,1997,42,1067,,,
293.15,24.11,0.38,Liquid-Gas,Experimental - Rejected,NIST,Authors: Giles, N. F.;Wilson, L. C.;Wilson, G. M.;Wilding, W. V. Citation: J. Chem. Eng. Data,1997,42,1067,,,
293.15,23.6,0.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Matvienko, V. G.;Yarym-Agaev, N. L. Title: Liquid-vapor equilibrium in the system n-butane-acetone Citation: Zh. Prikl. Khim. (S.-Peterburg),1994,67,158,,,,,
293.2,23.6,0.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Matvienko, V. G.;Yarym-Agaev, N. L. Title: Liquid-vapor equilibrium in the system n-butane-acetone Citation: Zh. Prikl. Khim. (S.-Peterburg),1994,67,158,,,,,
293.277944,24.758,0.08304,Liquid-Gas,Experimental,NIST,Authors: Roland, M. Title: Contribution to the study of concentrated solutions: 5 experimental determination of the thermodynamic activity of components of binary organic mixtures Citation: Bull. Soc. Chim. Belg.,1928,37, 117-40,,,,,,
293.83772,25.1313,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Taylor, A. E. Title: Vapour-pressure relations in mixtures of two liquids, II. Citation: J. Phys. Chem.,1900,4,355,,,,,
294.58742,25.998,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Taylor, A. E. Title: Vapour-pressure relations in mixtures of two liquids, II. Citation: J. Phys. Chem.,1900,4,355,,,,,
294.83732,26.265,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Taylor, A. E. Title: Vapour-pressure relations in mixtures of two liquids, II. Citation: J. Phys. Chem.,1900,4,355,,,,,
295.057232,26.664,0.26664,Liquid-Gas,Experimental,NIST,Authors: Kudryavtseva, L. S.;Susarev, M. P. Title: Liquid-vapor equilibrium in chloroform-hexane and acetone-chloroform systems. Citation: Zh. Prikl. Khim. (Leningrad),1963,36, 1231-1237,,,,,
297.43628,29.598,0,Liquid-Gas,Experimental,NIST,Authors: Taylor, A. E. Title: Vapour-pressure relations in mixtures of two liquids, II. Citation: J. Phys. Chem.,1900,4,355,,,,,
298.08602,31.130906,0.25331,Liquid-Gas,Experimental - Rejected,NIST,Authors: Zaalishvili, Sh. D.;Belousova, Z. S. Title: THE SECOND VIRIAL COEFFICIENT OF VAPOURS AND THEIR MIXTURES. IV. ACETONEBENZENE SYSTEM Citation: Russ. J. Phys. Chem.,1964,38,269,,,,,
298.136,30.3975,0.04,Liquid-Gas,Experimental,NIST,Authors: Beare, W. G.;McVicar, G. A.;Ferguson, J. B. Title: The determination of vapour and liquid compositions in binary systems: II acetone - water at 25c Citation: J. Phys. Chem.,1930,34,1310,,,,
