Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,
383.09,1.062,0.012,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
385.1262,1.9998,0.39996,Liquid-Gas,Experimental - Rejected,NIST,Authors: Lin, W.-C.,Tuan, F.-T. Title: Dipole moments and hindering effects of some n-alcohols in n-hexane solution Citation: J. Chin. Chem. Soc. (Taipei),1958,5,33,,,,,
385.62625,1.4665,0.219975,Liquid-Gas,Experimental - Rejected,NIST,Authors: Newman, M. S.,Underwood, G.,Renoll, M. Title: The Reduction of Terminal Epoxides Citation: J. Am. Chem. Soc.,1949,71,3362,,,
385.691856,1.236,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
387.62147,1.3599,0.11066,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
388.09,1.406,0.013,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
388.09,1.405,0.013,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
388.131368,1.408,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
390.62675,1.9998,0.39996,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yohe, G. R.,Adams, J. S. Title: Cyclopentyl Alkyl Acetic Acids and Omega-Cyclopentylethyl Alkyl Acetic Acids and Their Bactericidal Action Toward Leprae XI Citation: J. Am. Chem. Soc.,1928,50, 1503-8,,,,,
391.62685,1.7332,0.34664,Liquid-Gas,Experimental,NIST,Authors: Von Braun, J.,Manz, G. Title: The Decomposition of Aldehydes with Metals and Its Catalysis Citation: Chem. Ber.,1934,67,1696,,,,,
392.400514,1.769,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
392.62695,1.5999,0.239985,Liquid-Gas,Experimental - Rejected,NIST,Authors: Shulman, S,,Formo, M. W.,Rheineck, A. E. Title: Aliphatic Urethanes. Effect of Chain Length on Some Physical Properties Citation: J. Am. Oil Chem. Soc.,1961,38, 205-8,,
393.127,1.9998,0.29997,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schultz, G. Citation: Ber. Dtsch. Chem. Ges.,1909,42,3609,,,,,,,
393.177015,2.0665,0.20665,Liquid-Gas,Experimental - Rejected,NIST,Authors: Talvitie, Y. Citation: Ann. Acad. Sci. Fenn.,1927,26, 1-94,,,,,,,
394.82003,1.9998,0.16,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
394.989996,2.025,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
397.389516,2.283,0.011,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
400.1291,2.1332,0.31998,Liquid-Gas,Experimental - Rejected,NIST,Authors: Clutterbuck,Raistrick, H.,Rintoul Citation: Philos. Trans. R. Soc. London, Ser. B,1931,220,301,,,,
