Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,
218.0092,53.7556,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
218.20918,54.98,0,Liquid-Gas,Experimental,NIST,Authors: Wolff, H.;Hoepfner, A. Title: Normal and inverse vapour pressure-isotope effect of ammonia Citation: Ber. Bunsen-Ges. Phys. Chem.,1969,73,480,,,,,,,,,,,,,
219.1912,58.0752,0,Liquid-Gas,Experimental,NIST,Authors: Harteck, P.;Edse, R. Title: Vapor-pressure Measurement of Propane Citation: Z. Phys. Chem. Abt. A,1938,182,220,,,,,,,,,,,,,
219.9406,66.661,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: Vapor Pressures of Various Compounds at Low Temperatures Citation: U. S. Bur. Mines, Tech. Pap.,1916,142, 30pp,,,,,,,,,,,,
219.99056,66.661,0.6666,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: The Vapor Pressures of Propane, Propylene and Normal Butane at Low Temperatures Citation: J. Am. Chem. Soc.,1915,37,2188,,,,,,,,,,,,
220,60.585692,4.6944706,Liquid-Gas,Experimental,NIST,Authors: Perkins, R. A.;Ochoa, J. C. S.;Magee, J. W. Title: Thermodynamic Properties of Propane. II. Molar Heat Capacity at Constant Volume from (85 to 345) K with Pressures to 35 MPa Citation: J. Chem. Eng. Data,2009,54, 3192-3201,,,,,,,,,,,,
220.2493528,45.913,0.242,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kemp, J. D.;Egan, C. J. Title: Hindered Rotation of the Methyl Groups in Propane. The Heat Capacity, Vapor Pressure, Heats of Fusion and Vaporization of Propane. Entropy and Density of the Gas Citation: J. Am. Chem. Soc.,1938,60, 1521-5,,,,,,,,,,,
222.0088,65.7813,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
222.048912,66.661,0,Liquid-Gas,Experimental,NIST,Authors: Ziegler, W. T. Title: The Vapor Pressures of Some Hydrocarbons in the Liquid and Solid State at Low Temperatures Citation: NBS Technical Note 4, 1-18 (1959),,,,,,,,,,,,,,,,
224.717082,76.0604,0.293309,Liquid-Gas,Experimental,NIST,Authors: Dana, L. I.;Jenkins, A. C.;Burdick, H. E.;Timm, R. C. Title: Thermodynamic Properties of Butane, Isobutane, and Propane Citation: Refrig. Eng.,1926,12,387,,,,,,,,,
225.53659,86.66,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: Vapor Pressures of Various Compounds at Low Temperatures Citation: U. S. Bur. Mines, Tech. Pap.,1916,142, 30pp,,,,,,,,,,,,
225.58656,86.6593,0.7999,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: The Vapor Pressures of Propane, Propylene and Normal Butane at Low Temperatures Citation: J. Am. Chem. Soc.,1915,37,2188,,,,,,,,,,,,
226.0084,79.9401,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
226.1862,81.2066,0,Liquid-Gas,Experimental,NIST,Authors: Harteck, P.;Edse, R. Title: Vapor-pressure Measurement of Propane Citation: Z. Phys. Chem. Abt. A,1938,182,220,,,,,,,,,,,,,
228.03509,97.325,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: Vapor Pressures of Various Compounds at Low Temperatures Citation: U. S. Bur. Mines, Tech. Pap.,1916,142, 30pp,,,,,,,,,,,,
228.08506,97.3251,0.9333,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: The Vapor Pressures of Propane, Propylene and Normal Butane at Low Temperatures Citation: J. Am. Chem. Soc.,1915,37,2188,,,,,,,,,,,,
228.6847,101.325,2.533125,Liquid-Gas,Experimental - Rejected,NIST,Authors: Davis, H. S.;Thomson, G.;Crandall, G. S. Title: The role of liquid stationary films in batch absorption of gases: III rates of hydrogen absorption and relative rates of catalytic hydrogenation in alcohol Citation: J. Am. Chem. Soc.,1932,54,2340,,,,,,,,,,,,
